ExpenseBU,ExpenseLine,ExpenseBrand,ExpenseCode,ExpenseSKU,Active,BudgetTotal,ProposedSalesProduct,ProposedSalesBrand,CanonicalBU,CanonicalLine,MappingStatus,MappingReason,Reviewed,ReviewedBy,ReviewNote
GIT,GIT-I,NEXICURE,N40,NEXICURE 40 MG 20 TAB,Yes,13200000.00,NEXICURE 40 MG 20 TAB,NEXICURE,GIT,GIT-I,MATCHED,Exact product-name match,NO,,
GIT,GIT-I,NEXICURE,N2014,NEXICURE 20 MG 14 TAB,Yes,0.00,NEXICURE 20 MG 14 TAB,NEXICURE,GIT,GIT-I,MATCHED,Exact product-name match,NO,,
GIT,GIT-I,NEXICURE,NX20S14,NEXICURE 20 MG 14 SACHETS,Yes,0.00,NEXICURE 20 MG 14 SACHETS,NEXICURE,GIT,GIT-I,MATCHED,Exact product-name match,NO,,
GIT,GIT-I,PRUCANETIC,PR1,PRUCANETIC 1 MG 20 TAB,Yes,3000000.00,PRUCANETIC 1 MG 20 TAB,PRUCANETIC,GIT,GIT-I,MATCHED,Exact product-name match,NO,,
GIT,GIT-I,PRUCANETIC,PR2,PRUCANETIC 2 MG 20 TAB,Yes,0.00,PRUCANETIC 2 MG 20 TAB,PRUCANETIC,GIT,GIT-I,MATCHED,Exact product-name match,NO,,
GIT,GIT-I,DOSOVA NEXIDIGEST,DND30,DOSOVA NEXIDIGEST 30 TAB,No,5500000.00,,,GIT,GIT-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-II,VONSECA,V2014,VONSECA 20 MG 14 TAB,Yes,15500000.00,VONSECA 20 MG 14 TAB,VONSECA,GIT,GIT-II,MATCHED,Exact product-name match,NO,,
GIT,GIT-II,VONSECA,V1014,VONSECA 10 MG 14 TAB,Yes,0.00,VONSECA 10 MG 14 TAB,VONSECA,GIT,GIT-II,MATCHED,Exact product-name match,NO,,
GIT,GIT-II,BUTAZORELLA,BU150,BUTAZORELLA 150 MG 14 CAP,Yes,2000000.00,BUTAZORELLA 150 MG 14 CAP,BUTAZORELLA,GIT,GIT-II,MATCHED,Exact product-name match,NO,,
GIT,GIT-II,ULCEBISMO,UB56,ULCEBISMO 56 TAB,Yes,3300000.00,,ULCEBISMO,GIT,GIT-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,GIT-II,DEZOVA GASTROCOL,DG30,DEZOVA GASTROCOL 30 TAB,No,1500000.00,,,GIT,GIT-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-III,NEXICURE PLUS,NP40,NEXICURE PLUS 40/1680 MG 14 SACHETS,Yes,4500000.00,,,GIT,GIT-III,UNMAPPED,Confirmed UNMAPPED 2026-08-09. NOT assumed equal to NEXICURE PLUS 40 MG 14 SACHETS - no sales product carries the 40/1680 combination strength.,YES,Ahmed,Confirmed UNMAPPED 2026-08-09. NOT assumed equal to NEXICURE PLUS 40 MG 14 SACHETS - no sales product carries the 40/1680 combination strength.
GIT,GIT-III,NEXICURE PLUS,NP20,NEXICURE PLUS 20/1680 MG 14 SACHETS,Yes,0.00,NEXICURE PLUS 20/1680 MG 14 SACHETS,,GIT,GIT-III,MATCHED,Exact product-name match,NO,,
GIT,GIT-III,NEXICURE PLUS,NPC4014,NEXICURE PLUS 40/1100 MG 14 CAP,Yes,5500000.00,NEXICURE PLUS 40 /1100 MG 14 CAP,,GIT,GIT-III,MATCHED,"Approved 2026-08-09: whitespace only (40/1100 vs 40 /1100). Same brand, strength, pack, form.",YES,Ahmed,"Approved 2026-08-09: whitespace only (40/1100 vs 40 /1100). Same brand, strength, pack, form."
GIT,GIT-III,NEXICURE PLUS,NPC2014,NEXICURE PLUS 20/1100 MG 14 CAP,Yes,0.00,NEXICURE PLUS 20/1100 MG 14 CAP,,GIT,GIT-III,MATCHED,Exact product-name match,NO,,
GIT,GIT-III,GITBIORASE,GB200,GITBIORASE 200 MG 20 TAB,No,1000000.00,,,GIT,GIT-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-III,GITBIORASE,GB550,GITBIORASE 550 MG 20 TAB,No,0.00,,,GIT,GIT-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-III,DOZOVA FIBRO MAX,DFM30,DOZOVA FIBRO MAX 30 CAP,No,1000000.00,,,GIT,GIT-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,NEUROSCIENCE,ALZAZONEX,AZ28,ALZAZONEX 28 MG 30 CAP,No,0.00,,,GIT,CNS,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,NEUROSCIENCE,ZETAZOLEX,ZX25,ZETAZOLEX 0.25 MG 30 TAB,Yes,1800000.00,,ZETAZOLEX,GIT,CNS,NOT_YET_SELLING,"Classified 2026-08-09: no sales record for this strength. Sales has ZETAZOLEX at 1 MG, 2 MG and 4 MG in 30 TAB packs - no 0.25 MG. Measurement status only; cause not determinable from the data.",YES,Ahmed,"Classified 2026-08-09: no sales record for this strength. Sales has ZETAZOLEX at 1 MG, 2 MG and 4 MG in 30 TAB packs - no 0.25 MG. Measurement status only; cause not determinable from the data."
GIT,NEUROSCIENCE,ZETAZOLEX,ZX50,ZETAZOLEX 0.50 MG 30 TAB,Yes,0.00,,ZETAZOLEX,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,ZETAZOLEX,ZX10,ZETAZOLEX 1 MG 30 TAB,Yes,0.00,ZETAZOLEX 1 MG 30 TAB,ZETAZOLEX,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,ZETAZOLEX,ZX20,ZETAZOLEX 2 MG 30 TAB,Yes,0.00,ZETAZOLEX 2 MG 30 TAB,ZETAZOLEX,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,ZETAZOLEX,ZX40,ZETAZOLEX 4 MG 30 TAB,Yes,0.00,ZETAZOLEX 4 MG 30 TAB,ZETAZOLEX,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,VORTAXMODE,Vot5,VORTAXMODE 5 MG 20 TAB,Yes,1900000.00,VORTAXMODE 5 MG 20 TAB,VORTAXMODE,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,VORTAXMODE,Vot10,VORTAXMODE 10 MG 20 TAB,Yes,0.00,VORTAXMODE 10 MG 20 TAB,VORTAXMODE,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,VORTAXMODE,Vot15,VORTAXMODE 15 MG 20 TAB,Yes,0.00,VORTAXMODE 15 MG 20 TAB,VORTAXMODE,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,VORTAXMODE,Vot20,VORTAXMODE 20 MG 20 TAB,Yes,0.00,VORTAXMODE 20 MG 20 TAB,VORTAXMODE,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DBM30,DOZOVA BRAIN BOOST MAX 30 CAP,No,880000.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DB30,DOZOVA BRAIN BOOST 30 TAB,No,800000.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DBP30,DOZOVA BRAIN BOOST - PLUS 30 TAB,No,700000.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,EPILOSAMIDE,EP100,EPILOSAMIDE 100 MG 30 TAB,Yes,1000000.00,EPILOSAMIDE 100 MG 30 TAB,,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,EPILOSAMIDE,EPS5,EPILOSAMIDE 5 MG/1 ML SYRUP,No,200000.00,,,GIT,CNS,UNMAPPED,Confirmed UNMAPPED 2026-08-09. NOT mapped to EPILOSAMIDE 100 MG 30 TAB - different dosage form (syrup vs tablet).,YES,Ahmed,Confirmed UNMAPPED 2026-08-09. NOT mapped to EPILOSAMIDE 100 MG 30 TAB - different dosage form (syrup vs tablet).
GIT,NEUROSCIENCE,DUXNORZET,DU60,DUXNORZET 60 MG 30 CAP,Yes,1200000.00,DUXNORZET 60 MG 30 CAP,DUXNORZET,GIT,CNS,MATCHED,Exact product-name match,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DBSOL,DOZOVA BRAIN BOOST - SOLUTION SYRUP 250 MG,No,0.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,MINDOLUX CAP,MDX30,MINDOLUX CAP 30 CAP,No,520000.00,,,GIT,CNS,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
