Active,CanonicalBU,CanonicalLine,MappingStatus,SKUs,BudgetTotal,Joinable
No,CHC,CHC,UNMAPPED,7,8510000.00,NO
No,Cluster,ORTHO-I,UNMAPPED,1,2000000.00,NO
No,Cluster,ORTHO-II,UNMAPPED,1,2500000.00,NO
No,Cluster,PEDIA,UNMAPPED,7,5000000.00,NO
No,DIAB,DIAB-II,UNMAPPED,3,8500000.00,NO
No,DIAB,DIAB-III,UNMAPPED,1,2000000.00,NO
No,DIAB,DIAB-IV,UNMAPPED,1,3000000.00,NO
No,DIAB,Gyna,NOT_YET_SELLING,2,6000000.00,NO
No,DIAB,Gyna,UNMAPPED,3,9000000.00,NO
No,GIT,CNS,UNMAPPED,5,3100000.00,NO
No,GIT,Derma,UNMAPPED,1,500000.00,NO
No,GIT,GIT-I,UNMAPPED,1,5500000.00,NO
No,GIT,GIT-II,UNMAPPED,1,1500000.00,NO
No,GIT,GIT-III,UNMAPPED,2,2000000.00,NO
Yes,CHC,CHC,MATCHED,4,14650000.00,YES
Yes,CHC,CHC,UNMAPPED,2,6440000.00,NO
Yes,Cluster,CVM-I,MATCHED,2,11500000.00,YES
Yes,Cluster,CVM-I,NOT_YET_SELLING,1,2500000.00,NO
Yes,Cluster,CVM-II,MATCHED,3,14000000.00,YES
Yes,Cluster,ORTHO-I,MATCHED,2,11000000.00,YES
Yes,Cluster,ORTHO-II,MATCHED,2,9500000.00,YES
Yes,Cluster,PEDIA,MATCHED,4,12000000.00,YES
Yes,DIAB,DIAB-I,MATCHED,2,14500000.00,YES
Yes,DIAB,DIAB-II,MATCHED,1,13000000.00,YES
Yes,DIAB,DIAB-III,MATCHED,2,22000000.00,YES
Yes,DIAB,DIAB-IV,MATCHED,2,14500000.00,YES
Yes,GIT,CNS,MATCHED,3,4100000.00,YES
Yes,GIT,CNS,NOT_YET_SELLING,1,1800000.00,NO
Yes,GIT,Derma,MATCHED,2,9500000.00,YES
Yes,GIT,GIT-I,MATCHED,2,16200000.00,YES
Yes,GIT,GIT-II,MATCHED,3,20800000.00,YES
Yes,GIT,GIT-III,MATCHED,1,5500000.00,YES
Yes,GIT,GIT-III,UNMAPPED,1,4500000.00,NO
