Line,LineSheetBudget,SumOfSKUBudget,Variance,VariancePct,Status
CHC,24600000.00,29600000.00,5000000.00,20.33,VARIANCE
CVM-I,14000000.00,14000000.00,0.00,0.00,RECONCILED
CVM-II,14000000.00,14000000.00,0.00,0.00,RECONCILED
DIAB-I,13689720.00,14500000.00,810280.00,5.92,VARIANCE
DIAB-II,20344342.00,21500000.00,1155658.00,5.68,VARIANCE
DIAB-III,21376218.00,24000000.00,2623782.00,12.27,VARIANCE
DIAB-IV,22089720.00,17500000.00,-4589720.00,-20.78,VARIANCE
Derma,10000000.00,10000000.00,0.00,0.00,RECONCILED
GIT-I,22000000.00,21700000.00,-300000.00,-1.36,VARIANCE
GIT-II,22000000.00,22300000.00,300000.00,1.36,VARIANCE
GIT-III,12000000.00,12000000.00,0.00,0.00,RECONCILED
Gyna,15000000.00,15000000.00,0.00,0.00,RECONCILED
NEUROSCIENCE,9000000.00,9000000.00,0.00,0.00,RECONCILED
ORTHO-I,13000000.00,13000000.00,0.00,0.00,RECONCILED
ORTHO-II,12000000.00,12000000.00,0.00,0.00,RECONCILED
PEDIA,17000000.00,17000000.00,0.00,0.00,RECONCILED
Zetagarouh,5000000.00,0.00,-5000000.00,-100.00,NO_SKU_DETAIL
