ExpenseBU,ExpenseLine,ExpenseBrand,ExpenseCode,ExpenseSKU,Active,BudgetTotal,ProposedSalesProduct,ProposedSalesBrand,CanonicalBU,CanonicalLine,MappingStatus,MappingReason,Reviewed,ReviewedBy,ReviewNote
GIT,GIT-I,DOSOVA NEXIDIGEST,DND30,DOSOVA NEXIDIGEST 30 TAB,No,5500000.00,,,GIT,GIT-I,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-II,ULCEBISMO,UB56,ULCEBISMO 56 TAB,Yes,3300000.00,,ULCEBISMO,GIT,GIT-II,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,GIT-II,DEZOVA GASTROCOL,DG30,DEZOVA GASTROCOL 30 TAB,No,1500000.00,,,GIT,GIT-II,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-III,NEXICURE PLUS,NP40,NEXICURE PLUS 40/1680 MG 14 SACHETS,Yes,4500000.00,,,GIT,GIT-III,UNMAPPED,Confirmed UNMAPPED 2026-08-09. NOT assumed equal to NEXICURE PLUS 40 MG 14 SACHETS - no sales product carries the 40/1680 combination strength.,YES,Ahmed,Confirmed UNMAPPED 2026-08-09. NOT assumed equal to NEXICURE PLUS 40 MG 14 SACHETS - no sales product carries the 40/1680 combination strength.
GIT,GIT-III,GITBIORASE,GB200,GITBIORASE 200 MG 20 TAB,No,1000000.00,,,GIT,GIT-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-III,GITBIORASE,GB550,GITBIORASE 550 MG 20 TAB,No,0.00,,,GIT,GIT-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,GIT-III,DOZOVA FIBRO MAX,DFM30,DOZOVA FIBRO MAX 30 CAP,No,1000000.00,,,GIT,GIT-III,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,NEUROSCIENCE,ALZAZONEX,AZ28,ALZAZONEX 28 MG 30 CAP,No,0.00,,,GIT,CNS,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
GIT,NEUROSCIENCE,ZETAZOLEX,ZX25,ZETAZOLEX 0.25 MG 30 TAB,Yes,1800000.00,,ZETAZOLEX,GIT,CNS,NOT_YET_SELLING,"Classified 2026-08-09: no sales record for this strength. Sales has ZETAZOLEX at 1 MG, 2 MG and 4 MG in 30 TAB packs - no 0.25 MG. Measurement status only; cause not determinable from the data.",YES,Ahmed,"Classified 2026-08-09: no sales record for this strength. Sales has ZETAZOLEX at 1 MG, 2 MG and 4 MG in 30 TAB packs - no 0.25 MG. Measurement status only; cause not determinable from the data."
GIT,NEUROSCIENCE,ZETAZOLEX,ZX50,ZETAZOLEX 0.50 MG 30 TAB,Yes,0.00,,ZETAZOLEX,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,VORTAXMODE,Vot15,VORTAXMODE 15 MG 20 TAB,Yes,0.00,,VORTAXMODE,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,VORTAXMODE,Vot20,VORTAXMODE 20 MG 20 TAB,Yes,0.00,,VORTAXMODE,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DBM30,DOZOVA BRAIN BOOST MAX 30 CAP,No,880000.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DB30,DOZOVA BRAIN BOOST 30 TAB,No,800000.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DBP30,DOZOVA BRAIN BOOST - PLUS 30 TAB,No,700000.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,EPILOSAMIDE,EPS5,EPILOSAMIDE 5 MG/1 ML SYRUP,No,200000.00,,,GIT,CNS,UNMAPPED,Confirmed UNMAPPED 2026-08-09. NOT mapped to EPILOSAMIDE 100 MG 30 TAB - different dosage form (syrup vs tablet).,YES,Ahmed,Confirmed UNMAPPED 2026-08-09. NOT mapped to EPILOSAMIDE 100 MG 30 TAB - different dosage form (syrup vs tablet).
GIT,NEUROSCIENCE,DOZOVA BRAIN BOOST,DBSOL,DOZOVA BRAIN BOOST - SOLUTION SYRUP 250 MG,No,0.00,,DOZOVA BRAIN BOOST,GIT,CNS,NOT_YET_SELLING,Brand exists in sales; this SKU has no sales record. Cause not determinable from the data - needs product knowledge.,NO,,
GIT,NEUROSCIENCE,MINDOLUX CAP,MDX30,MINDOLUX CAP 30 CAP,No,520000.00,,,GIT,CNS,UNMAPPED,Neither the SKU nor its brand appears in the sales cube,NO,,
